gene_id,gene_symbol,means,variances,variances_norm,highly_variable_rank
ENSG00000287094.1,ENSG00000287094.1,0.00039721946375372393,0.0005957305712727168,1.4374554369243873,1725.0
ENSG00000135541.22,AHI1,0.31807348560079446,0.678141883565464,1.40511601577244,1918.0
ENSG00000112312.10,GMNN,0.06434955312810328,0.1849539665878428,2.113458581756884,609.0
ENSG00000184357.5,H1-5,0.02720953326713009,0.10711536278526233,2.8680495259881953,330.0
ENSG00000204287.14,HLA-DRA,26.73922542204568,2634.7515350042995,5.951667767937179,86.0
ENSG00000196230.14,TUBB,1.2795431976166831,10.346021044662733,3.36607548523629,233.0
ENSG00000137331.12,IER3,0.4621648460774578,1.7049443645203608,2.245375322631552,533.0
ENSG00000146070.17,PLA2G7,0.21300893743793445,0.46361066930138356,1.5171278100763856,1403.0
ENSG00000231852.9,CYP21A2,0.0009930486593843098,0.001588049410408795,1.4513438095016558,1605.0
ENSG00000180573.10,H2AC6,0.19672293942403177,3.7446908190486643,6.03183176363283,85.0
ENSG00000124575.7,H1-3,0.5970208540218471,1.826667059849107,1.7345482174939861,948.0
ENSG00000151917.18,BEND6,0.007149950347567031,0.015044711845761763,1.7074624465647767,1003.0
ENSG00000197061.5,H4C3,1.342899702085402,28.22057476697777,6.672812127315824,66.0
ENSG00000118523.6,CCN2,0.0012909632571996028,0.0020839425442105877,1.4455065255214776,1641.0
ENSG00000204252.14,HLA-DOA,0.1592850049652433,0.34248752130655974,1.5311403877933787,1346.0
ENSG00000223865.11,HLA-DPB1,7.600893743793446,330.61366490776703,6.394885052931725,74.0
ENSG00000197594.14,ENPP1,0.005362462760675273,0.013875303109635867,2.144599982148451,594.0
ENSG00000237649.8,KIFC1,0.016981132075471698,0.06734494253799726,3.041532817688989,288.0
ENSG00000135525.19,MAP7,0.020953326713008938,0.039783379487889084,1.4433392818183712,1664.0
ENSG00000124557.14,BTN1A1,0.0012909632571996028,0.0020839425442105877,1.4455065255214776,1647.0
ENSG00000276368.2,H2AC14,0.011519364448857995,0.042373994808216554,2.883310833886681,324.0
