"gene_id","gene_symbol","mean","variance","variance.expected","variance.standardized"
"ENSG00000211598.2","IGKV4-1",0.0492552135054618,4.04683378827106,0.0664839144700699,4.44842992195094
"ENSG00000113140.11","SPARC",0.0190665342601787,0.117622328475722,0.0249858206172793,4.42254001997154
"ENSG00000101057.16","MYBL2",0.0674280039721946,0.401749566521291,0.091819549457566,4.37542515613145
"ENSG00000103056.12","SMPD3",0.0875868917576961,0.523661571304965,0.12012263903638,4.35939116477763
"ENSG00000184709.7","LRRC26",0.0455809334657398,0.267561659701979,0.0613901275948432,4.3583825312729
"ENSG00000166165.14","CKB",0.0982125124131082,0.588525953443585,0.135186519382526,4.35343668978028
"ENSG00000143297.19","FCRL5",0.0805362462760675,0.53189841138843,0.110156291634029,4.31907070627404
"ENSG00000222037.5","IGLC6",0.0438927507447865,7.70330712128025,0.0590488608072106,4.30292602665151
"ENSG00000164104.12","HMGB2",1.79990069513406,22.1406097825699,5.17651555807332,4.27712609653786
"ENSG00000004468.13","CD38",0.233465739821251,1.44742497225941,0.338477922484701,4.27627586943975
"ENSG00000077984.6","CST7",1.16732869910626,11.4387775491121,2.68054914731256,4.26732617851087
"ENSG00000161911.12","TREML1",0.00814299900695134,0.0523718615633558,0.0101387819019446,4.24790686080611
"ENSG00000100292.18","HMOX1",0.543098311817279,5.03235627496996,0.93185384846434,4.23758798003935
"ENSG00000227191.8","TRGC2",0.370506454816286,2.45015795184034,0.57889652211822,4.23246272559223
"ENSG00000184451.5","CCR10",0.0622641509433962,0.356535939751564,0.084588774183237,4.21493210173766
"ENSG00000038427.16","VCAN",6.46017874875869,166.477061443863,39.546209698576,4.20968438474288
"ENSG00000211949.3","IGHV3-23",0.0232373386295928,1.07662751641282,0.0306956275963895,4.19680934380639
"ENSG00000167513.9","CDT1",0.0183714001986097,0.105432643853735,0.024037659486051,4.19478175041637
"ENSG00000102145.16","GATA1",0.00377358490566038,0.0240199229092844,0.00444023550214265,4.16945896011701
"ENSG00000239264.9","TXNDC5",0.0226415094339623,0.123829351062574,0.0298782467249888,4.14446510875784
"ENSG00000125538.12","IL1B",0.706256206554121,5.42547480971178,1.31556966195651,4.12404980641086
"ENSG00000134545.14","KLRC1",0.0753723932472691,0.422662861607441,0.102917759060117,4.10680202782644
"ENSG00000223609.11","HBD",0.00476663356504469,0.0422853512353638,0.00570280105251727,4.0900072659734
"ENSG00000223855.4","PDGFA-DT",0.00695134061569017,0.0396775654143313,0.00854774287891225,4.07770571622834
"ENSG00000153064.12","BANK1",0.616881827209533,4.4798818243494,1.09908425798019,4.07601309164613
"ENSG00000162825.18","NBPF20",0.0857000993048659,0.494492086036336,0.117443538224166,4.05824396686759
"ENSG00000178999.13","AURKB",0.0198609731876862,0.111036627804396,0.0260702061217839,4.02767898957213
"ENSG00000094804.12","CDC6",0.0119165839126117,0.0729536210080928,0.0152347108517771,4.02278219507541
"ENSG00000092853.14","CLSPN",0.0334657398212512,0.179732053399567,0.0447306482000087,4.01809633063918
"ENSG00000176083.18","ZNF683",0.0498510427010924,0.331013484612579,0.0673099125646904,4.0109161467105
